when	phase	unit	decision / hypothesis	evidence	verdict
2026-09-01	E	gate	pwa-check grown to 14 checks: adds a first-install-does-not-reload check, a dismiss check, a bar-clears-the-nav check, and an orphan-cache-cleanup check that bumps VERSION rather than touching a byte so new cache names are actually created. 14/14.	docs/probes/pwa-check.mjs	VERIFIED
2026-09-01	E	gate-proof	Proved the reload gate is real: with the guard removed the run reports navigation type 'reload' and fails 13/14, then passes again once restored.	local run	VERIFIED
2026-09-01	E	whole	261 tests. tsc clean. eslint back to 5 pre-existing errors. build compiles. Long-text fix re-verified on the production build: questions scroll to 765 with the box at y=499, listen mode follows to Part 4 of 4 (document position 890, viewport 812) scrolling to 617.	local run	VERIFIED
2026-09-01	E	deploy	Pushed 10 commits to origin/main and deployed to Vercel production, aliased to edu-app-beta-eight.vercel.app.	git push, vercel --prod	VERIFIED
2026-09-01	E	verify	Live checks: manifest 200 with id '/' and both screenshots, sw.js serving quest-v4, apple-touch-icon 200, screenshots 200 without a session, and / still redirects to /login.	curl against production	VERIFIED
2026-09-01	E	verify	pwa-check gained an ORIGIN override so the read-only half runs against a real deployment. Against production: 7/7 — the worker registers and activates on the live HTTPS origin, caches are created, the offline shell is precached. Locally still 14/14.	docs/probes/pwa-check.mjs	VERIFIED
2026-09-01	C	fix-36	The probe awaited navigator.serviceWorker.ready with no bound, so a page where nothing registers hung the whole run with no output. Raced against a 20s timeout and reported as a failure instead.	docs/probes/pwa-check.mjs	VERIFIED
2026-09-01	E	closed	The open item from this morning is closed with real data. 10 cold generations after the fix: most-repeated name Omar 2/10 (was Sam 10/10), distinct first-4-words 10/10 (was 5/10), distinct titles 10/10 (was 9/10). Both predicates PASS.	node docs/probes/reading-variety.mjs 10 cold	VERIFIED
2026-09-01	C	bug-12	That run exposed a new one: 1 of 10 passages opened in play-script format — 'Maya: Look at the garden' — because the opening move said only 'a line of dialogue'. He is learning how narrative prose is written, so the form matters.	probe output	VERIFIED
2026-09-01	C	fix-37	The opening move now names the form (quotation marks, said-tag, never NAME:) and the system prompt forbids script lines outright. Re-run: '"Look at the fruit," Theo said.'	lib/reading.ts, lib/groq.ts	VERIFIED
2026-09-01	B	words	Words rebuild: three design candidates commissioned under different framings. The Fable-authored candidate was discarded at the parent's instruction and its recommendations are not carried forward; the pedagogy framing was redrawn on a permitted model.	scratchpad	OPEN
2026-09-01	A	gizmo	Parent sent three ExploreLearning Gizmo PDFs for Growing Plants: a vocabulary sheet, a student exploration, and an assessment carrying an explicit copyright notice. Extracted with pypdfium2 (no poppler on the machine).	C:/Users/missa/Downloads/*.pdf	VERIFIED
2026-09-01	B	copyright	Decision: teach the content, do not reproduce it. The seven vocabulary terms are defined here in his own reading level rather than copied; the assessment's five questions are NOT reproduced. What they revealed — that he is graded on fair tests, on reading a data table, and on why a plant in the dark grows tall but weak — became passage ideas instead.	lib/word-packs.ts, lib/curriculum.ts	VERIFIED
2026-09-01	C	add	Word pack 'growing-plants': the 7 worksheet terms plus the 7 words the sheet asks him to DO (hypothesis, experiment, data, observe, conclusion, nutrients, sprout). Seeded live as 'School: Growing Plants', 14 words with the clues intact.	lib/word-packs.ts	VERIFIED
2026-09-01	C	trap	The pack's own clue-leak test caught my 'mass' clue containing the word 'mass'. Rewritten.	lib/__tests__/word-packs.test.ts	VERIFIED
2026-09-01	C	add	Science unit 'Growing Plants: Fair Tests', weeks 2-9. Standards recorded as the science PRACTICE (NGSS SEP 3) rather than inventing a content performance expectation, because the lesson is about planning a fair test, not plant biology.	lib/curriculum.ts	VERIFIED
2026-09-01	C	order	Placed FIRST in the shared 2-9 span. Measured first: as the last entry it would not have surfaced as a reading topic until 2026-10-06, a month after the worksheet. Two pinned rotation tests updated to the measured new order with the reason.	lib/__tests__/curriculum.test.ts	VERIFIED
2026-09-01	E	verify	End to end on a real generation: topic 'Growing Plants: Fair Tests', his new vocabulary in the prose, and a science_fact question — which is what the assessment tests.	live generation	VERIFIED
2026-09-01	C	bug-13	That generation exposed a pre-existing quality defect: to reach the word minimum the writer padded sentences into broken English — 'Maya planned a plant experiment today soon', twice, and 'soil stayed same throughout'. He is an ELL learning what correct English looks like.	live generation	VERIFIED
2026-09-01	C	fix-38	The system prompt now requires every sentence to be English a teacher would accept, names the real padding it produced, and says to add a FACT rather than words when short. Re-run: two clean passages using compost, nutrients, fair test, sprout, mass.	lib/groq.ts	VERIFIED
2026-09-01	A	words	Parent: remove the Words page, replace with a stuck-word repetition trainer. Design tournament run under three framings; Fable's candidate discarded at his instruction and its recommendations not carried forward.	scratchpad	VERIFIED
2026-09-01	B	pool	Pool is a WordList with kind:'unit'|'pool' — additive, no migration. It IS a WordList so the review builder, drill picker and applyWordResults route it by listId with no second code path.	lib/models/WordList.ts	VERIFIED
2026-09-01	B	queries	The 6 unfiltered WordList.find() sites now route by intent through lib/word-source.ts: getUnits (no pool), getPractice (pool first), getPool (upsert). A decision copied into six places is one that gets forgotten in the seventh.	lib/word-source.ts	VERIFIED
2026-09-01	C	chain	The rule is not softened: 10 correct in a row, any miss resets to zero. Two counters, only one falls — current (the rule) and reps (lifetime, buys the support). So a reset at nine costs him the chain, never the ground.	lib/spell-chain.ts + 13 tests	VERIFIED
2026-09-01	C	antigame	The phone posts what he typed, never whether it was right; the server re-grades with the same pure function. Nothing to forge, and a refresh loses nothing because the server's count IS the count.	app/api/stuck/write/route.ts	VERIFIED
2026-09-01	C	spacing	Words rotate rather than one word ten times running: back-to-back reps are copying, not remembering. 'Consecutive' still means unbroken by a mistake on that word.	rotate()	VERIFIED
2026-09-01	C	bug-14	Found live: after a miss the drill rotated to the next word, so the miss message sat beside a different word's counter AND the repair rung landed on the wrong word. He now stays on the word he missed for one write with the spelling in front of him.	browser	VERIFIED
2026-09-01	C	bug-15	Found live: pool words were stored with no clue, so every item that asks 'which word means this?' could not build for them — they would have sat out the very tests they were added for. Clues now fill on add, and any word still missing one is healed by the next add in the same call.	app/api/stuck/route.ts, lib/fill-clues.ts	VERIFIED
2026-09-01	C	move	List admin moved to /me/lists with an entry on the Me page; every href repointed. The Words tab now hands a nine-year-old something to do instead of an editor.	app/me/lists/	VERIFIED
2026-09-01	E	verify	Driven live: 'fifty, thirty, eighty, 42, fair test' added four and showed '42' rejected rather than dropping it; 'fair test' stayed one term. Chunk masking hid his exact failure points (fif__, thir__, eigh__). Writing 'fefte' reset 8 to 10, kept best at 3, and named the rule: 'Fifty starts f-i-f, not like the word five.'	screenshots	VERIFIED
2026-09-01	E	whole	283 tests (was 261). tsc clean. eslint 5 pre-existing errors. build compiles.	local run	VERIFIED
2026-09-01	E	open	NOT done yet: the flashcards step still exists in the learn path. Replacing it with this drill is the remaining half of the parent's third decision.	lib/types.ts STEPS	OPEN
2026-09-01	C	bug-16	Parent asked whether the meaning arrives with the word. It did not, twice over: the clue was fetched but NEVER rendered anywhere, and no Arabic was fetched at all. He would have written a word ten times without being told what it means — which defeats the premise, since a word is in the pool BECAUSE he does not understand it.	code read + DB	VERIFIED
2026-09-01	C	fix-39	fillArabic() added, reusing the app's existing translate prompt; clue and Arabic fetched in parallel on add, and any word still missing either is healed by the next add in the same call. Both now show in the drill above the word and on the board card.	lib/fill-clues.ts, ChainRunner, StuckBoard	VERIFIED
2026-09-01	E	verify	Live: adding 'chrysalis' cold returned 'A stage when a caterpillar changes into a butterfly inside a soft shell' with شرنقة. All seven earlier words backfilled. The drill shows the meaning and the Arabic while he writes.	screenshots	VERIFIED
2026-09-01	C	flashcards	The last half of the parent's third decision: the flashcards step is a writing drill now. Passive flip cards deleted — FlashcardRunner and DrillFlashcards both gone, in the learn path and the drill.	components/	VERIFIED
2026-09-01	B	id	The step ID stays 'flashcards' deliberately. pathProgress is keyed by it, so renaming would relock every unit he has finished, and sessions queued offline on his phone carry the old id and would be rejected by the API's zod enum. Only the label changed: 'Learn / See the words' to 'Write It / Write each word ten times'. A test now pins the id so a future rename cannot slip through.	lib/types.ts, mastery.test.ts	VERIFIED
2026-09-01	C	path	The step picks the words most needing it — due first, then weakest spell streak — via the existing orderByNeed, and posts a session so the step completes. The chain is per word app-wide, so writing a list word also advances it in the pool.	app/learn/[listId]/[step]/page.tsx	VERIFIED
2026-09-01	E	verify	Drove /learn/<list>/flashcards: title 'Write It', meaning shown above the word, 18 writes completed, pathProgress.flashcards.completedAt written with plays 1, and chains created for all three words.	browser + DB	VERIFIED
2026-09-01	E	whole	284 tests (was 261 at the start of the Words work). tsc clean. eslint 5 pre-existing errors. build compiles.	local run	VERIFIED
2026-09-01	C	bug-17	School-list words had clues but no Arabic: seeding never filled it, so a word only got one if the parent remembered to press the button in the editor. He is Arabic-L1 and every screen that shows a meaning shows the Arabic.	DB: 137 words, 0 with Arabic outside the pool	VERIFIED
2026-09-01	C	fix-40	Seeding now fills Arabic alongside clues, in parallel. A pack's hand-written clues are still never overwritten — only the Arabic is generated for those.	app/api/lists/seed/route.ts	VERIFIED
2026-09-01	C	backfill	All existing lists backfilled through the translate route that already existed, rather than writing a second path. 137 words, 0 now without Arabic.	live run	VERIFIED
2026-09-01	C	correction	Parent corrected one: conclusion is خلاصة, not استنتاج. Fixed. His judgement on his own language is the authority, not the model's.	DB	VERIFIED
2026-09-01	C	fix-41	That correction exposed a gap: the Stuck-words pool was hidden from the admin page too, so a wrong translation there could not be fixed. The admin page now shows every list including the pool, deliberately and with the reason written down, while the units strip and the daily beats still hide it.	app/me/lists/page.tsx	VERIFIED
2026-09-06	A	progress	Parent: does the UI update when a list is mastered, and is repetition progressive and smart? Traced: the per-skill 1-3-7-16-35-90 ladder and orderByNeed already make it progressive; the drill chips showed plain totals so a mastered list looked untouched; and the new write-ten chain graduated a word for good with no re-check.	screenshot + code	VERIFIED
2026-09-06	C	fix-42	Drill chips report what is LEFT (words not yet produced-and-steady), sort finished lists to the bottom, and count the pool the drill actually uses. isSettled mirrors wordKnowledge's known rule on skills alone.	components/drill/picks.ts, WordDrillCard.tsx, app/drill/page.tsx	VERIFIED
2026-09-06	C	fix-43	Finished is not forever: a word that hit ten comes back for one blind write on the same ladder every other skill uses. Pass extends the gap; a miss makes it a working word at zero, graduatedAt kept as the record he did it once.	lib/spell-chain.ts (+6 tests), SpellChain model, write route, StuckBoard, ChainRunner	VERIFIED
2026-09-06	C	trap	Importing the ladder from lib/mastery.ts pulled the Mongoose model into the browser bundle (build failed with 18 errors). The ladder moved to lib/spacing.ts, which imports nothing; mastery re-exports it.	lib/spacing.ts	VERIFIED
